Salary (USD),Job title_Bin,Industry,Country,Race_Bin,Age,Gender_Bin,Highest level of education completed,Experience
53000.0,Management,healthcare,USA,White,35-44,Woman,Master's degree,21
36000.0,Non-Managerial Employee,tech,USA,White,25-34,Woman,College degree,5
38000.0,Non-Managerial Employee,nonprofit,USA,White,25-34,Woman,Master's degree,5
87000.0,Non-Managerial Employee,government,USA,White,25-34,Man,Master's degree,5
125600.0,Non-Managerial Employee,business,USA,White,35-44,Woman,Master's degree,11
62091.4086,Non-Managerial Employee,business,UK,White,25-34,Woman,Master's degree,5
45000.0,Non-Managerial Employee,manufacturing,USA,White,25-34,Woman,Some college,5
88000.0,Non-Managerial Employee,tech,USA,Mixed Race,35-44,Woman,College degree,11
71000.0,Non-Managerial Employee,nonprofit,USA,White,35-44,Woman,Master's degree,11
71000.0,Management,education,USA,White,45-54,Woman,PhD,11
75000.0,Non-Managerial Employee,education,USA,White,35-44,Woman,Master's degree,11
80000.0,Management,education,USA,White,35-44,Woman,Master's degree,21
125000.0,Non-Managerial Employee,tech,USA,White,35-44,Woman,Master's degree,11
65000.0,Non-Managerial Employee,education,USA,White,35-44,Woman,Master's degree,11
47559.376800000005,Non-Managerial Employee,education,UK,White,45-54,Woman,College degree,21
55000.0,Non-Managerial Employee,nonprofit,USA,White,25-34,Woman,College degree,2
91000.0,Non-Managerial Employee,business,USA,White,25-34,Woman,College degree,11
118000.0,Non-Managerial Employee,manufacturing,USA,White,35-44,Woman,College degree,8
47198.4558,Non-Managerial Employee,nonprofit,Canada,White,35-44,Man,High School,11
65000.0,Non-Managerial Employee,education,USA,White,35-44,Woman,Master's degree,11
93500.0,Management,business,USA,White,25-34,Woman,Master's degree,5
39520.0,Non-Managerial Employee,business,USA,White,25-34,Woman,Some college,8
90463.70695,Director,tech,Canada,White,45-54,Man,Master's degree,21
76000.0,Non-Managerial Employee,environment,USA,White,25-34,Woman,College degree,8
240000.0,Non-Managerial Employee,business,USA,White,55-64,Woman,Master's degree,31
90000.0,Management,finance,USA,White,25-34,Woman,Master's degree,5
25497.110340000003,Non-Managerial Employee,government,UK,White,25-34,Man,Some college,5
70000.0,Non-Managerial Employee,business,USA,White,55-64,Woman,Master's degree,31
98166.0,Non-Managerial Employee,tech,USA,White,45-54,Man,College degree,21
63500.0,Director,education,USA,White,25-34,Woman,Master's degree,5
58.0,Non-Managerial Employee,environment,USA,White,55-64,Woman,Master's degree,21
49700.0,Non-Managerial Employee,nonprofit,USA,White,25-34,Woman,College degree,5
95000.0,Executive,tech,USA,White,55-64,Man,Some college,31
37758.76464,Non-Managerial Employee,"tech,business",Canada,White,35-44,Woman,College degree,8
39940.0,Non-Managerial Employee,education,USA,Mixed Race,25-34,Woman,College degree,2
53000.0,Non-Managerial Employee,government,USA,White,25-34,Man,College degree,8
47255.0,Non-Managerial Employee,education,USA,White,45-54,Woman,Some college,31
206000.0,Management,property,USA,White,35-44,Man,College degree,11
34361.0,Non-Managerial Employee,healthcare,USA,Mixed Race,45-54,Woman,College degree,21
170000.0,Non-Managerial Employee,manufacturing,USA,White,45-54,Woman,College degree,21
20000.0,Non-Managerial Employee,education,USA,White,35-44,Woman,College degree,5
123303.0,Non-Managerial Employee,tech,USA,Asian or Asian American,25-34,Woman,Master's degree,8
61357.99254,Management,government,Canada,Mixed Race,35-44,Woman,College degree,11
105000.0,Non-Managerial Employee,education,USA,White,45-54,Man,PhD,21
42000.0,Management,business,USA,White,45-54,Woman,Master's degree,21
105000.0,Management,finance,USA,White,25-34,Woman,Master's degree,5
66054.69,Non-Managerial Employee,tech,UK,White,25-34,Man,High School,5
121500.0,Director,education,USA,White,35-44,Woman,College degree,11
93797.65980000001,Non-Managerial Employee,finance,UK,White,45-54,Woman,Master's degree,21
68501.5128,Management,business,Netherlands,Mixed Race,35-44,Woman,Master's degree,11
75000.0,Director,education,USA,White,25-34,Woman,College degree,11
160000.0,Non-Managerial Employee,education,USA,White,35-44,Woman,PhD,2
82597.29765000001,Non-Managerial Employee,finance,Canada,White,25-34,Woman,College degree,2
50000.0,Non-Managerial Employee,business,USA,White,25-34,Woman,Master's degree,5
85000.0,Director,finance,USA,White,45-54,Woman,College degree,21
42000.0,Non-Managerial Employee,"tech,business",USA,White,35-44,Woman,College degree,11
54100.0,Non-Managerial Employee,nonprofit,USA,White,35-44,Woman,Master's degree,21
72370.96556,Non-Managerial Employee,education,Canada,White,35-44,Woman,PhD,5
67204.041606,Non-Managerial Employee,government,UK,White,45-54,Woman,Master's degree,21
101500.0,Management,nonprofit,USA,White,55-64,Woman,College degree,31
37033.0,Non-Managerial Employee,healthcare,USA,White,25-34,Woman,College degree,2
85000.0,Non-Managerial Employee,"tech,business",USA,White,25-34,Woman,College degree,11
62000.0,Non-Managerial Employee,education,USA,White,25-34,Woman,College degree,5
130000.0,Management,tech,USA,White,35-44,Man,College degree,11
55000.0,Non-Managerial Employee,education,USA,White,55-64,Woman,Master's degree,21
59015.0,Non-Managerial Employee,government,USA,White,25-34,Woman,College degree,8
74000.0,Management,business,USA,White,25-34,Woman,College degree,5
53000.0,Director,business,USA,White,45-54,Woman,Master's degree,21
63000.0,Non-Managerial Employee,government,USA,White,25-34,Woman,Master's degree,5
100000.0,Non-Managerial Employee,manufacturing,USA,White,35-44,Woman,College degree,21
63018.9898,Management,"government,business",Australia,White,35-44,Man,Master's degree,11
38000.0,Non-Managerial Employee,nonprofit,USA,White,35-44,Woman,Some college,11
58500.0,Management,finance,USA,White,35-44,Woman,Some college,11
85000.0,Director,education,USA,White,35-44,Woman,College degree,11
62000.0,Non-Managerial Employee,education,USA,White,35-44,Woman,College degree,11
74000.0,Non-Managerial Employee,education,USA,White,25-34,Other,Master's degree,8
64000.0,Non-Managerial Employee,nonprofit,USA,White,25-34,Woman,College degree,5
72660.159,Non-Managerial Employee,business,UK,White,25-34,Woman,College degree,11
19571.8608,Non-Managerial Employee,education,Spain,White,25-34,Woman,College degree,8
92000.0,Management,nonprofit,USA,White,35-44,Woman,College degree,11
25100.7822,Non-Managerial Employee,nonprofit,UK,White,18-24,Man,Master's degree,2
42000.0,Non-Managerial Employee,education,USA,White,35-44,Man,Master's degree,11
144000.0,Management,healthcare,USA,White,55-64,Man,College degree,21
73000.0,Non-Managerial Employee,business,USA,White,45-54,Woman,High School,31
71339.06520000001,Management,nonprofit,UK,White,35-44,Woman,College degree,11
100000.0,Non-Managerial Employee,healthcare,USA,White,45-54,Woman,Master's degree,21
35669.532600000006,Non-Managerial Employee,education,UK,White,25-34,Woman,College degree,11
63129.0,Non-Managerial Employee,government,USA,White,18-24,Woman,Master's degree,2
135000.0,Non-Managerial Employee,"education,science",USA,White,45-54,Woman,PhD,11
130000.0,Non-Managerial Employee,tech,USA,Mixed Race,25-34,Woman,College degree,11
26000.0,Non-Managerial Employee,government,USA,Mixed Race,25-34,Woman,Master's degree,2
60000.0,Non-Managerial Employee,finance,USA,White,25-34,Woman,Master's degree,5
37000.0,Non-Managerial Employee,nonprofit,USA,White,35-44,Woman,College degree,11
88000.0,Non-Managerial Employee,manufacturing,USA,White,25-34,Woman,College degree,5
65000.0,Non-Managerial Employee,"tech,business",USA,White,35-44,Woman,College degree,11
92000.0,Director,nonprofit,USA,White,25-34,Woman,Master's degree,8
38.056396,Non-Managerial Employee,healthcare,Finland,White,25-34,Woman,College degree,2
69000.0,Non-Managerial Employee,manufacturing,USA,White,25-34,Man,College degree,5
35000.0,Non-Managerial Employee,business,USA,White,35-44,Woman,College degree,11
75000.0,Non-Managerial Employee,finance,USA,White,25-34,Woman,College degree,8
122500.0,Director,manufacturing,USA,"Hispanic, Latino, or Spanish origin",25-34,Man,College degree,5
119000.0,Non-Managerial Employee,government,USA,"Hispanic, Latino, or Spanish origin",25-34,Other,Master's degree,8
70000.0,Non-Managerial Employee,nonprofit,USA,White,35-44,Woman,Master's degree,11
145000.0,Management,tech,USA,White,45-54,Woman,Some college,21
62000.0,Non-Managerial Employee,property,USA,White,35-44,Woman,Master's degree,11
400000.0,Non-Managerial Employee,business,USA,White,35-44,Woman,College degree,11
61200.0,Director,nonprofit,USA,White,35-44,Woman,Master's degree,11
125503.91100000001,Director,business,UK,White,25-34,Woman,College degree,8
66000.0,Non-Managerial Employee,business,USA,White,25-34,Woman,College degree,2
70000.0,Non-Managerial Employee,tech,USA,Black or African American,35-44,Woman,College degree,8
52000.0,Non-Managerial Employee,education,USA,White,25-34,Woman,College degree,5
80500.0,Management,property,USA,White,45-54,Woman,Some college,21
57000.0,Non-Managerial Employee,business,USA,White,25-34,Woman,Master's degree,8
83200.0,Non-Managerial Employee,nonprofit,USA,White,25-34,Woman,Master's degree,8
77500.0,Management,business,USA,Mixed Race,18-24,Woman,College degree,2
31200.0,Non-Managerial Employee,service,USA,White,35-44,Woman,College degree,11
42275.0016,Non-Managerial Employee,healthcare,UK,White,25-34,Woman,Master's degree,2
225000.0,Director,business,USA,Mixed Race,35-44,Woman,College degree,11
57500.0,Non-Managerial Employee,healthcare,USA,White,25-34,Man,College degree,8
220000.0,Non-Managerial Employee,healthcare,USA,Asian or Asian American,45-54,Woman,PhD,11
100000.0,Non-Managerial Employee,service,USA,White,25-34,Woman,College degree,8
80000.0,Non-Managerial Employee,tech,USA,White,25-34,Woman,Master's degree,5
52500.0,Non-Managerial Employee,education,USA,White,25-34,Woman,Master's degree,5
39143.7216,Non-Managerial Employee,"tech,business",France,White,25-34,Woman,Master's degree,2
94000.0,Non-Managerial Employee,finance,USA,White,25-34,Woman,College degree,2
57000.0,Non-Managerial Employee,manufacturing,USA,White,25-34,Woman,College degree,5
91000.0,Non-Managerial Employee,tech,USA,White,35-44,Woman,College degree,8
90000.0,Director,nonprofit,USA,White,35-44,Woman,College degree,11
76000.0,Non-Managerial Employee,government,USA,Asian or Asian American,25-34,Woman,College degree,2
76623.4404,Non-Managerial Employee,manufacturing,UK,White,25-34,Woman,Master's degree,8
75000.0,Management,nonprofit,USA,White,25-34,Woman,Master's degree,8
62500.0,Non-Managerial Employee,education,USA,White,25-34,Other,PhD,2
80000.0,Non-Managerial Employee,manufacturing,USA,White,35-44,Woman,Master's degree,11
70000.0,Non-Managerial Employee,nonprofit,USA,White,35-44,Woman,Master's degree,11
34299.0,Non-Managerial Employee,education,USA,White,25-34,Woman,Master's degree,8
118898.44200000001,Management,tech,UK,White,25-34,Woman,Master's degree,11
50000.0,Director,education,USA,White,35-44,Woman,Master's degree,11
102000.0,Management,service,USA,White,35-44,Woman,High School,8
125000.0,Non-Managerial Employee,service,USA,White,35-44,Woman,Master's degree,11
60000.0,Non-Managerial Employee,property,USA,White,35-44,Woman,Some college,11
275000.0,Non-Managerial Employee,property,USA,White,55-64,Woman,Master's degree,31
148000.0,Non-Managerial Employee,manufacturing,USA,White,35-44,Woman,College degree,11
54580.0,Non-Managerial Employee,manufacturing,USA,White,25-34,Woman,College degree,11
200000.0,Management,business,USA,White,35-44,Woman,Master's degree,11
47198.4558,Management,business,Canada,White,25-34,Woman,College degree,8
71000.0,Non-Managerial Employee,education,USA,White,45-54,Man,Master's degree,21
53000.0,Non-Managerial Employee,nonprofit,USA,White,25-34,Woman,College degree,5
82160.0,Non-Managerial Employee,healthcare,USA,White,35-44,Woman,Master's degree,11
71000.0,Non-Managerial Employee,business,USA,White,25-34,Woman,College degree,11
25700.0,Non-Managerial Employee,manufacturing,USA,"Hispanic, Latino, or Spanish origin",18-24,Woman,College degree,5
105000.0,Non-Managerial Employee,government,USA,White,25-34,Woman,College degree,8
77000.0,Non-Managerial Employee,education,USA,White,35-44,Woman,Master's degree,11
50000.0,Non-Managerial Employee,healthcare,USA,White,35-44,Woman,Master's degree,11
33314.022354600005,Non-Managerial Employee,government,UK,White,25-34,Woman,College degree,5
31616.0,Non-Managerial Employee,government,USA,White,25-34,Other,College degree,5
97000.0,Non-Managerial Employee,government,USA,White,35-44,Woman,Master's degree,11
62000.0,Non-Managerial Employee,business,USA,White,18-24,Woman,College degree,0
82500.0,Non-Managerial Employee,manufacturing,USA,White,35-44,Woman,College degree,11
71000.0,Non-Managerial Employee,education,USA,White,25-34,Other,College degree,5
88000.0,Non-Managerial Employee,tech,USA,White,45-54,Woman,Master's degree,21
31500.0,Management,property,USA,Mixed Race,25-34,Woman,College degree,8
76000.0,Non-Managerial Employee,healthcare,USA,White,25-34,Woman,Master's degree,5
195000.0,Non-Managerial Employee,healthcare,USA,White,35-44,Other,College degree,21
45760.0,Non-Managerial Employee,finance,USA,"Hispanic, Latino, or Spanish origin",25-34,Woman,Some college,11
86000.0,Management,business,USA,White,25-34,Woman,College degree,5
61546.7863632,Management,manufacturing,Canada,White,25-34,Woman,Master's degree,5
56000.0,Non-Managerial Employee,education,USA,White,25-34,Woman,Master's degree,8
69000.0,Non-Managerial Employee,tech,USA,White,25-34,Woman,College degree,8
125000.0,Non-Managerial Employee,tech,USA,White,25-34,Woman,Master's degree,5
55000.0,Management,property,USA,White,25-34,Woman,College degree,5
175000.0,Management,tech,USA,White,35-44,Woman,College degree,11
60000.0,Non-Managerial Employee,healthcare,USA,White,25-34,Woman,College degree,8
190000.0,Non-Managerial Employee,healthcare,USA,White,25-34,Woman,Master's degree,0
60320.0,Non-Managerial Employee,property,USA,White,45-54,Woman,Some college,21
143750.0,Management,healthcare,USA,White,35-44,Woman,PhD,5
94000.0,Non-Managerial Employee,education,USA,White,45-54,Woman,PhD,21
77090.81114,Non-Managerial Employee,healthcare,Canada,White,25-34,Woman,Master's degree,8
49000.0,Non-Managerial Employee,government,USA,White,35-44,Woman,Some college,11
120000.0,Director,nonprofit,USA,White,35-44,Woman,College degree,11
28000.0,Non-Managerial Employee,education,USA,White,25-34,Other,Master's degree,2
135000.0,Non-Managerial Employee,business,USA,White,55-64,Woman,College degree,31
40575.0,Non-Managerial Employee,education,USA,White,35-44,Woman,College degree,8
75500.0,Non-Managerial Employee,nonprofit,USA,White,25-34,Woman,Master's degree,8
127000.0,Non-Managerial Employee,business,USA,White,25-34,Woman,College degree,5
70000.0,Non-Managerial Employee,government,USA,White,35-44,Woman,Master's degree,8
111400.0,Non-Managerial Employee,tech,USA,White,25-34,Woman,College degree,5
29000.0,Non-Managerial Employee,agriculture,USA,White,18-24,Woman,Some college,0
61000.0,Non-Managerial Employee,business,USA,White,55-64,Woman,College degree,31
47250.0,Non-Managerial Employee,nonprofit,USA,White,55-64,Woman,Master's degree,11
100000.0,Non-Managerial Employee,manufacturing,USA,White,35-44,Man,Some college,11
282704.656,Management,tech,Germany,White,35-44,Other,High School,21
45000.0,Non-Managerial Employee,nonprofit,USA,White,35-44,Woman,College degree,11
72000.0,Non-Managerial Employee,nonprofit,USA,White,25-34,Woman,Master's degree,2
78167.0,Non-Managerial Employee,government,USA,White,25-34,Woman,Master's degree,5
187500.0,Management,finance,USA,White,25-34,Woman,College degree,8
124000.0,Management,tech,USA,White,45-54,Woman,Master's degree,21
108000.0,Non-Managerial Employee,business,USA,White,45-54,Man,College degree,21
115000.0,Non-Managerial Employee,finance,USA,White,35-44,Woman,Master's degree,11
83000.0,Director,education,USA,White,35-44,Woman,Master's degree,11
124000.0,Non-Managerial Employee,manufacturing,USA,White,25-34,Woman,Master's degree,8
45000.0,Non-Managerial Employee,education,USA,White,25-34,Woman,Master's degree,5
93000.0,Non-Managerial Employee,government,USA,White,25-34,Woman,PhD,11
134550.0,Management,manufacturing,USA,White,35-44,Woman,Master's degree,11
66000.0,Non-Managerial Employee,business,USA,White,45-54,Woman,Some college,21
71697.0,Non-Managerial Employee,education,USA,White,35-44,Woman,Master's degree,8
99000.0,Management,property,USA,White,45-54,Woman,Some college,31
120000.0,Director,education,USA,White,35-44,Woman,College degree,11
52000.0,Non-Managerial Employee,education,USA,"Hispanic, Latino, or Spanish origin",25-34,Other,Master's degree,5
48378.417195,Non-Managerial Employee,property,Canada,White,25-34,Woman,Some college,8
85000.0,Non-Managerial Employee,business,USA,White,35-44,Woman,High School,21
56000.0,Non-Managerial Employee,business,USA,White,25-34,Woman,Some college,8
49840.0,Non-Managerial Employee,manufacturing,USA,Mixed Race,45-54,Man,College degree,21
170000.0,Management,business,USA,White,45-54,Woman,Master's degree,21
150000.0,Management,tech,USA,White,45-54,Woman,Master's degree,21
110000.0,Non-Managerial Employee,business,USA,White,45-54,Woman,PhD,21
105000.0,Non-Managerial Employee,finance,USA,Asian or Asian American,25-34,Woman,College degree,2
105500.0,Management,manufacturing,USA,Asian or Asian American,35-44,Woman,Master's degree,11
150000.0,Non-Managerial Employee,finance,USA,White,25-34,Man,College degree,5
125000.0,Non-Managerial Employee,healthcare,USA,White,45-54,Woman,College degree,21
63000.0,Director,government,USA,White,35-44,Woman,Master's degree,11
132109.38,Management,business,UK,White,25-34,Woman,College degree,8
80000.0,Non-Managerial Employee,"government,business",USA,White,35-44,Woman,Master's degree,11
52000.0,Non-Managerial Employee,education,USA,White,25-34,Man,Master's degree,5
112000.0,Non-Managerial Employee,government,USA,White,25-34,Woman,Master's degree,5
71339.06520000001,Non-Managerial Employee,education,UK,White,45-54,Woman,PhD,21
120000.0,Non-Managerial Employee,"tech,business",USA,Black or African American,45-54,Woman,Master's degree,21
53653.58249940001,Non-Managerial Employee,education,UK,White,25-34,Woman,College degree,8
72400.0,Management,government,USA,White,35-44,Woman,Master's degree,11
112500.0,Management,science,USA,White,35-44,Woman,College degree,11
45625.17394,Non-Managerial Employee,education,Canada,White,25-34,Woman,College degree,5
45625.17394,Non-Managerial Employee,government,Canada,White,25-34,Woman,Some college,8
45000.0,Non-Managerial Employee,finance,USA,White,18-24,Woman,College degree,0
75000.0,Director,government,USA,White,35-44,Woman,Master's degree,8
115000.0,Management,business,USA,White,25-34,Man,College degree,5
35490.307584,Non-Managerial Employee,business,Ireland,White,25-34,Woman,Master's degree,2
17000.0,Non-Managerial Employee,agriculture,USA,White,35-44,Other,Master's degree,11
64000.0,Non-Managerial Employee,government,USA,Black or African American,25-34,Woman,College degree,5
66000.0,Management,property,USA,White,55-64,Woman,College degree,31
84000.0,Management,manufacturing,USA,White,45-54,Woman,College degree,21
78000.0,Non-Managerial Employee,government,USA,White,25-34,Woman,Master's degree,5
70000.0,Non-Managerial Employee,government,USA,White,18-24,Woman,Master's degree,2
120000.0,Non-Managerial Employee,healthcare,USA,White,65 or over,Woman,Master's degree,41
114400.0,Non-Managerial Employee,finance,USA,White,35-44,Woman,College degree,21
111500.0,Non-Managerial Employee,business,USA,White,25-34,Woman,Master's degree,11
58300.0,Director,education,USA,White,25-34,Woman,College degree,5
700000.0,Director,nonprofit,USA,White,25-34,Woman,College degree,11
345000.0,Non-Managerial Employee,tech,USA,Mixed Race,35-44,Other,Master's degree,21
143000.0,Non-Managerial Employee,tech,USA,White,45-54,Woman,College degree,11
75000.0,Non-Managerial Employee,government,USA,White,25-34,Woman,Master's degree,8
51522.658200000005,Non-Managerial Employee,education,UK,White,25-34,Woman,Master's degree,11
141000.0,Management,tech,USA,White,35-44,Woman,College degree,11
128500.0,Management,manufacturing,USA,White,45-54,Man,College degree,21
68437.76091,Management,nonprofit,Canada,Mixed Race,25-34,Woman,PhD,2
38480.0,Non-Managerial Employee,education,USA,White,35-44,Woman,College degree,11
37000.0,Non-Managerial Employee,nonprofit,USA,White,35-44,Man,Master's degree,11
55000.0,Non-Managerial Employee,nonprofit,USA,White,25-34,Woman,Master's degree,8
53500.0,Non-Managerial Employee,business,USA,White,25-34,Woman,College degree,8
49600.0,Non-Managerial Employee,government,USA,Mixed Race,25-34,Woman,Master's degree,8
50000.0,Director,nonprofit,USA,White,25-34,Woman,College degree,8
63500.0,Management,finance,USA,White,25-34,Woman,Master's degree,11
62000.0,Non-Managerial Employee,business,USA,White,35-44,Woman,Master's degree,11
65000.0,Non-Managerial Employee,nonprofit,USA,White,25-34,Woman,College degree,8
43680.0,Non-Managerial Employee,healthcare,USA,White,25-34,Woman,College degree,5
105000.0,Non-Managerial Employee,business,USA,White,25-34,Woman,College degree,5
67375.7838,Non-Managerial Employee,education,UK,White,45-54,Woman,College degree,21
67700.0,Non-Managerial Employee,nonprofit,USA,White,25-34,Woman,College degree,8
34348.4388,Non-Managerial Employee,manufacturing,UK,White,25-34,Woman,Master's degree,2
73157.60649,Non-Managerial Employee,government,Canada,White,25-34,Woman,College degree,8
75000.0,Non-Managerial Employee,education,USA,White,35-44,Woman,Master's degree,21
45577.7361,Management,nonprofit,UK,White,35-44,Woman,College degree,11
75500.0,Non-Managerial Employee,business,USA,White,18-24,Woman,College degree,5
87500.0,Non-Managerial Employee,agriculture,USA,White,35-44,Woman,College degree,11
80000.0,Non-Managerial Employee,property,USA,White,25-34,Woman,College degree,11
38000.0,Non-Managerial Employee,"tech,business",USA,White,25-34,Woman,College degree,8
63000.0,Non-Managerial Employee,business,USA,White,25-34,Woman,Master's degree,8
39000.0,Non-Managerial Employee,government,USA,White,35-44,Woman,Master's degree,11
105000.0,Management,education,USA,White,35-44,Woman,College degree,11
59000.0,Non-Managerial Employee,property,USA,White,45-54,Woman,High School,21
309000.0,Non-Managerial Employee,tech,USA,White,35-44,Woman,PhD,11
77000.0,Non-Managerial Employee,business,USA,White,35-44,Woman,College degree,21
55000.0,Non-Managerial Employee,"tech,business",USA,White,35-44,Woman,College degree,11
67200.0,Non-Managerial Employee,tech,USA,White,25-34,Other,Master's degree,5
43500.0,Management,healthcare,USA,White,55-64,Woman,College degree,21
94000.0,Non-Managerial Employee,manufacturing,USA,Mixed Race,25-34,Woman,College degree,5
173000.0,Non-Managerial Employee,government,USA,White,55-64,Woman,Master's degree,21
91938.0,Management,government,USA,White,45-54,Woman,College degree,21
125500.0,Non-Managerial Employee,healthcare,USA,White,25-34,Woman,PhD,5
51918.301380000004,Non-Managerial Employee,tech,Canada,White,25-34,Woman,College degree,0
186000.0,Management,finance,USA,White,55-64,Man,College degree,31
38545.40557,Non-Managerial Employee,business,Canada,White,35-44,Woman,Some college,21
51000.0,Non-Managerial Employee,"tech,business",USA,White,25-34,Woman,College degree,5
62800.0,Non-Managerial Employee,finance,USA,White,25-34,Man,College degree,8
186000.0,Management,finance,USA,Asian or Asian American,25-34,Woman,College degree,8
40200.0,Non-Managerial Employee,business,USA,White,35-44,Woman,College degree,11
71750.0,Non-Managerial Employee,education,USA,White,25-34,Woman,Master's degree,8
70000.0,Management,manufacturing,USA,Asian or Asian American,35-44,Man,Master's degree,8
87000.0,Management,business,USA,White,35-44,Woman,Master's degree,21
157000.0,Management,tech,USA,White,35-44,Woman,College degree,21
65000.0,Non-Managerial Employee,government,USA,White,35-44,Woman,College degree,5
42120.0,Non-Managerial Employee,nonprofit,USA,White,25-34,Woman,College degree,2
70000.0,Non-Managerial Employee,business,USA,White,25-34,Woman,Master's degree,5
85000.0,Management,nonprofit,USA,White,25-34,Man,College degree,8
